fecha,esc_0,esc_1,esc_2,prob_0,prob_1,prob_2
2000-01,10.0,50.0,90.0,30.0,40.0,30.0
2000-02,10.0,50.0,90.0,30.0,40.0,30.0
2000-03,10.0,50.0,90.0,30.0,40.0,30.0
2000-04,10.0,50.0,90.0,30.0,40.0,30.0
2000-05,10.0,50.0,90.0,30.0,40.0,30.0
2000-06,10.0,50.0,90.0,30.0,40.0,30.0
2000-07,10.0,50.0,90.0,30.0,40.0,30.0
2000-08,10.0,50.0,90.0,30.0,40.0,30.0
2000-09,10.0,50.0,90.0,30.0,40.0,30.0
2000-10,10.0,50.0,90.0,30.0,40.0,30.0
2000-11,10.0,50.0,90.0,30.0,40.0,30.0
2000-12,10.0,50.0,90.0,30.0,40.0,30.0
2001-01,10.0,50.0,90.0,30.0,40.0,30.0
2001-02,10.0,50.0,90.0,30.0,40.0,30.0
2001-03,10.0,50.0,90.0,30.0,40.0,30.0
2001-04,10.0,50.0,90.0,30.0,40.0,30.0
2001-05,10.0,50.0,90.0,30.0,40.0,30.0
2001-06,10.0,50.0,90.0,30.0,40.0,30.0
2001-07,10.0,50.0,90.0,30.0,40.0,30.0
2001-08,10.0,50.0,90.0,30.0,40.0,30.0
2001-09,10.0,50.0,90.0,30.0,40.0,30.0
2001-10,10.0,50.0,90.0,30.0,40.0,30.0
2001-11,10.0,50.0,90.0,30.0,40.0,30.0
2001-12,10.0,50.0,90.0,30.0,40.0,30.0
2002-01,10.0,50.0,90.0,30.0,40.0,30.0
2002-02,10.0,50.0,90.0,30.0,40.0,30.0
2002-03,10.0,50.0,90.0,30.0,40.0,30.0
2002-04,10.0,50.0,90.0,30.0,40.0,30.0
2002-05,10.0,50.0,90.0,30.0,40.0,30.0
2002-06,10.0,50.0,90.0,30.0,40.0,30.0
2002-07,10.0,50.0,90.0,30.0,40.0,30.0
2002-08,10.0,50.0,90.0,30.0,40.0,30.0
2002-09,10.0,50.0,90.0,30.0,40.0,30.0
2002-10,10.0,50.0,90.0,30.0,40.0,30.0
2002-11,10.0,50.0,90.0,30.0,40.0,30.0
2002-12,10.0,50.0,90.0,30.0,40.0,30.0
2003-01,10.0,50.0,90.0,30.0,40.0,30.0
2003-02,10.0,50.0,90.0,30.0,40.0,30.0
2003-03,10.0,50.0,90.0,30.0,40.0,30.0
2003-04,10.0,50.0,90.0,30.0,40.0,30.0
2003-05,10.0,50.0,90.0,30.0,40.0,30.0
2003-06,10.0,50.0,90.0,30.0,40.0,30.0
2003-07,10.0,50.0,90.0,30.0,40.0,30.0
2003-08,10.0,50.0,90.0,30.0,40.0,30.0
2003-09,10.0,50.0,90.0,30.0,40.0,30.0
2003-10,10.0,50.0,90.0,30.0,40.0,30.0
2003-11,10.0,50.0,90.0,30.0,40.0,30.0
2003-12,10.0,50.0,90.0,30.0,40.0,30.0
2004-01,10.0,50.0,90.0,30.0,40.0,30.0
2004-02,10.0,50.0,90.0,30.0,40.0,30.0
2004-03,10.0,50.0,90.0,30.0,40.0,30.0
2004-04,10.0,50.0,90.0,30.0,40.0,30.0
2004-05,10.0,50.0,90.0,30.0,40.0,30.0
2004-06,10.0,50.0,90.0,30.0,40.0,30.0
2004-07,10.0,50.0,90.0,30.0,40.0,30.0
2004-08,10.0,50.0,90.0,30.0,40.0,30.0
2004-09,10.0,50.0,90.0,30.0,40.0,30.0
2004-10,10.0,50.0,90.0,30.0,40.0,30.0
2004-11,10.0,50.0,90.0,30.0,40.0,30.0
2004-12,10.0,50.0,90.0,30.0,40.0,30.0
2005-01,10.0,50.0,90.0,30.0,40.0,30.0
2005-02,10.0,50.0,90.0,30.0,40.0,30.0
2005-03,10.0,50.0,90.0,30.0,40.0,30.0
2005-04,10.0,50.0,90.0,30.0,40.0,30.0
2005-05,10.0,50.0,90.0,30.0,40.0,30.0
2005-06,10.0,50.0,90.0,30.0,40.0,30.0
2005-07,10.0,50.0,90.0,30.0,40.0,30.0
2005-08,10.0,50.0,90.0,30.0,40.0,30.0
2005-09,10.0,50.0,90.0,30.0,40.0,30.0
2005-10,10.0,50.0,90.0,30.0,40.0,30.0
2005-11,10.0,50.0,90.0,30.0,40.0,30.0
2005-12,10.0,50.0,90.0,30.0,40.0,30.0
2006-01,10.0,50.0,90.0,30.0,40.0,30.0
2006-02,10.0,50.0,90.0,30.0,40.0,30.0
2006-03,10.0,50.0,90.0,30.0,40.0,30.0
2006-04,10.0,50.0,90.0,30.0,40.0,30.0
2006-05,10.0,50.0,90.0,30.0,40.0,30.0
2006-06,10.0,50.0,90.0,30.0,40.0,30.0
2006-07,10.0,50.0,90.0,30.0,40.0,30.0
2006-08,10.0,50.0,90.0,30.0,40.0,30.0
2006-09,10.0,50.0,90.0,30.0,40.0,30.0
2006-10,10.0,50.0,90.0,30.0,40.0,30.0
2006-11,10.0,50.0,90.0,30.0,40.0,30.0
2006-12,10.0,50.0,90.0,30.0,40.0,30.0
2007-01,10.0,50.0,90.0,30.0,40.0,30.0
2007-02,10.0,50.0,90.0,30.0,40.0,30.0
2007-03,10.0,50.0,90.0,30.0,40.0,30.0
2007-04,10.0,50.0,90.0,30.0,40.0,30.0
2007-05,10.0,50.0,90.0,30.0,40.0,30.0
2007-06,10.0,50.0,90.0,30.0,40.0,30.0
2007-07,10.0,50.0,90.0,30.0,40.0,30.0
2007-08,10.0,50.0,90.0,30.0,40.0,30.0
2007-09,10.0,50.0,90.0,30.0,40.0,30.0
2007-10,10.0,50.0,90.0,30.0,40.0,30.0
2007-11,10.0,50.0,90.0,30.0,40.0,30.0
2007-12,10.0,50.0,90.0,30.0,40.0,30.0
2008-01,10.0,50.0,90.0,30.0,40.0,30.0
2008-02,10.0,50.0,90.0,30.0,40.0,30.0
2008-03,10.0,50.0,90.0,30.0,40.0,30.0
2008-04,10.0,50.0,90.0,30.0,40.0,30.0
2008-05,10.0,50.0,90.0,30.0,40.0,30.0
2008-06,10.0,50.0,90.0,30.0,40.0,30.0
2008-07,10.0,50.0,90.0,30.0,40.0,30.0
2008-08,10.0,50.0,90.0,30.0,40.0,30.0
2008-09,10.0,50.0,90.0,30.0,40.0,30.0
2008-10,10.0,50.0,90.0,30.0,40.0,30.0
2008-11,10.0,50.0,90.0,30.0,40.0,30.0
2008-12,10.0,50.0,90.0,30.0,40.0,30.0
2009-01,10.0,50.0,90.0,30.0,40.0,30.0
2009-02,10.0,50.0,90.0,30.0,40.0,30.0
2009-03,10.0,50.0,90.0,30.0,40.0,30.0
2009-04,10.0,50.0,90.0,30.0,40.0,30.0
2009-05,10.0,50.0,90.0,30.0,40.0,30.0
2009-06,10.0,50.0,90.0,30.0,40.0,30.0
2009-07,10.0,50.0,90.0,30.0,40.0,30.0
2009-08,10.0,50.0,90.0,30.0,40.0,30.0
2009-09,10.0,50.0,90.0,30.0,40.0,30.0
2009-10,10.0,50.0,90.0,30.0,40.0,30.0
2009-11,10.0,50.0,90.0,30.0,40.0,30.0
2009-12,10.0,50.0,90.0,30.0,40.0,30.0
2010-01,10.0,50.0,90.0,30.0,40.0,30.0
2010-02,10.0,50.0,90.0,30.0,40.0,30.0
2010-03,10.0,50.0,90.0,30.0,40.0,30.0
2010-04,10.0,50.0,90.0,30.0,40.0,30.0
2010-05,10.0,50.0,90.0,30.0,40.0,30.0
2010-06,10.0,50.0,90.0,30.0,40.0,30.0
2010-07,10.0,50.0,90.0,30.0,40.0,30.0
2010-08,10.0,50.0,90.0,30.0,40.0,30.0
2010-09,10.0,50.0,90.0,30.0,40.0,30.0
2010-10,10.0,50.0,90.0,30.0,40.0,30.0
2010-11,10.0,50.0,90.0,30.0,40.0,30.0
2010-12,10.0,50.0,90.0,30.0,40.0,30.0
2011-01,10.0,50.0,90.0,30.0,40.0,30.0
2011-02,10.0,50.0,90.0,30.0,40.0,30.0
2011-03,10.0,50.0,90.0,30.0,40.0,30.0
2011-04,10.0,50.0,90.0,30.0,40.0,30.0
2011-05,10.0,50.0,90.0,30.0,40.0,30.0
2011-06,10.0,50.0,90.0,30.0,40.0,30.0
2011-07,10.0,50.0,90.0,30.0,40.0,30.0
2011-08,10.0,50.0,90.0,30.0,40.0,30.0
2011-09,10.0,50.0,90.0,30.0,40.0,30.0
2011-10,10.0,50.0,90.0,30.0,40.0,30.0
2011-11,10.0,50.0,90.0,30.0,40.0,30.0
2011-12,10.0,50.0,90.0,30.0,40.0,30.0
2012-01,10.0,50.0,90.0,30.0,40.0,30.0
2012-02,10.0,50.0,90.0,30.0,40.0,30.0
2012-03,10.0,50.0,90.0,30.0,40.0,30.0
2012-04,10.0,50.0,90.0,30.0,40.0,30.0
2012-05,10.0,50.0,90.0,30.0,40.0,30.0
2012-06,10.0,50.0,90.0,30.0,40.0,30.0
2012-07,10.0,50.0,90.0,30.0,40.0,30.0
2012-08,10.0,50.0,90.0,30.0,40.0,30.0
2012-09,10.0,50.0,90.0,30.0,40.0,30.0
2012-10,10.0,50.0,90.0,30.0,40.0,30.0
2012-11,10.0,50.0,90.0,30.0,40.0,30.0
2012-12,10.0,50.0,90.0,30.0,40.0,30.0
2013-01,10.0,50.0,90.0,30.0,40.0,30.0
2013-02,10.0,50.0,90.0,30.0,40.0,30.0
2013-03,10.0,50.0,90.0,30.0,40.0,30.0
2013-04,10.0,50.0,90.0,30.0,40.0,30.0
2013-05,10.0,50.0,90.0,30.0,40.0,30.0
2013-06,10.0,50.0,90.0,30.0,40.0,30.0
2013-07,10.0,50.0,90.0,30.0,40.0,30.0
2013-08,10.0,50.0,90.0,30.0,40.0,30.0
2013-09,10.0,50.0,90.0,30.0,40.0,30.0
2013-10,10.0,50.0,90.0,30.0,40.0,30.0
2013-11,10.0,50.0,90.0,30.0,40.0,30.0
2013-12,10.0,50.0,90.0,30.0,40.0,30.0
2014-01,10.0,50.0,90.0,30.0,40.0,30.0
2014-02,10.0,50.0,90.0,30.0,40.0,30.0
2014-03,10.0,50.0,90.0,30.0,40.0,30.0
2014-04,10.0,50.0,90.0,30.0,40.0,30.0
2014-05,10.0,50.0,90.0,30.0,40.0,30.0
2014-06,10.0,50.0,90.0,30.0,40.0,30.0
2014-07,10.0,50.0,90.0,30.0,40.0,30.0
2014-08,10.0,50.0,90.0,30.0,40.0,30.0
2014-09,10.0,50.0,90.0,30.0,40.0,30.0
2014-10,10.0,50.0,90.0,30.0,40.0,30.0
2014-11,10.0,50.0,90.0,30.0,40.0,30.0
2014-12,10.0,50.0,90.0,30.0,40.0,30.0
2015-01,10.0,50.0,90.0,30.0,40.0,30.0
2015-02,10.0,50.0,90.0,30.0,40.0,30.0
2015-03,10.0,50.0,90.0,30.0,40.0,30.0
2015-04,10.0,50.0,90.0,30.0,40.0,30.0
2015-05,10.0,50.0,90.0,30.0,40.0,30.0
2015-06,10.0,50.0,90.0,30.0,40.0,30.0
2015-07,10.0,50.0,90.0,30.0,40.0,30.0
2015-08,10.0,50.0,90.0,30.0,40.0,30.0
2015-09,10.0,50.0,90.0,30.0,40.0,30.0
2015-10,10.0,50.0,90.0,30.0,40.0,30.0
2015-11,10.0,50.0,90.0,30.0,40.0,30.0
2015-12,10.0,50.0,90.0,30.0,40.0,30.0
2016-01,10.0,50.0,90.0,30.0,40.0,30.0
2016-02,10.0,50.0,90.0,30.0,40.0,30.0
2016-03,10.0,50.0,90.0,30.0,40.0,30.0
2016-04,10.0,50.0,90.0,30.0,40.0,30.0
2016-05,10.0,50.0,90.0,30.0,40.0,30.0
2016-06,10.0,50.0,90.0,30.0,40.0,30.0
2016-07,10.0,50.0,90.0,30.0,40.0,30.0
2016-08,10.0,50.0,90.0,30.0,40.0,30.0
2016-09,10.0,50.0,90.0,30.0,40.0,30.0
2016-10,10.0,50.0,90.0,30.0,40.0,30.0
2016-11,10.0,50.0,90.0,30.0,40.0,30.0
2016-12,10.0,50.0,90.0,30.0,40.0,30.0
2017-01,10.0,50.0,90.0,30.0,40.0,30.0
2017-02,10.0,50.0,90.0,30.0,40.0,30.0
2017-03,10.0,50.0,90.0,30.0,40.0,30.0
2017-04,10.0,50.0,90.0,30.0,40.0,30.0
2017-05,10.0,50.0,90.0,30.0,40.0,30.0
2017-06,10.0,50.0,90.0,30.0,40.0,30.0
2017-07,10.0,50.0,90.0,30.0,40.0,30.0
2017-08,10.0,50.0,90.0,30.0,40.0,30.0
2017-09,10.0,50.0,90.0,30.0,40.0,30.0
2017-10,10.0,50.0,90.0,30.0,40.0,30.0
2017-11,10.0,50.0,90.0,30.0,40.0,30.0
2017-12,10.0,50.0,90.0,30.0,40.0,30.0
2018-01,10.0,50.0,90.0,30.0,40.0,30.0
2018-02,10.0,50.0,90.0,30.0,40.0,30.0
2018-03,10.0,50.0,90.0,30.0,40.0,30.0
2018-04,10.0,50.0,90.0,30.0,40.0,30.0
2018-05,10.0,50.0,90.0,30.0,40.0,30.0
2018-06,10.0,50.0,90.0,30.0,40.0,30.0
2018-07,10.0,50.0,90.0,30.0,40.0,30.0
2018-08,10.0,50.0,90.0,30.0,40.0,30.0
2018-09,10.0,50.0,90.0,30.0,40.0,30.0
2018-10,10.0,50.0,90.0,30.0,40.0,30.0
2018-11,10.0,50.0,90.0,30.0,40.0,30.0
2018-12,10.0,50.0,90.0,30.0,40.0,30.0
2019-01,10.0,50.0,90.0,30.0,40.0,30.0
2019-02,10.0,50.0,90.0,30.0,40.0,30.0
2019-03,10.0,50.0,90.0,30.0,40.0,30.0
2019-04,10.0,50.0,90.0,30.0,40.0,30.0
2019-05,10.0,50.0,90.0,30.0,40.0,30.0
2019-06,10.0,50.0,90.0,30.0,40.0,30.0
2019-07,10.0,50.0,90.0,30.0,40.0,30.0
2019-08,10.0,50.0,90.0,30.0,40.0,30.0
2019-09,10.0,50.0,90.0,30.0,40.0,30.0
2019-10,10.0,50.0,90.0,30.0,40.0,30.0
2019-11,10.0,50.0,90.0,30.0,40.0,30.0
2019-12,10.0,50.0,90.0,30.0,40.0,30.0
2020-01,10.0,50.0,90.0,30.0,40.0,30.0
2020-02,10.0,50.0,90.0,30.0,40.0,30.0
2020-03,10.0,50.0,90.0,30.0,40.0,30.0
2020-04,10.0,50.0,90.0,30.0,40.0,30.0
2020-05,10.0,50.0,90.0,30.0,40.0,30.0
2020-06,10.0,50.0,90.0,30.0,40.0,30.0
2020-07,10.0,50.0,90.0,30.0,40.0,30.0
2020-08,10.0,50.0,90.0,30.0,40.0,30.0
2020-09,10.0,50.0,90.0,30.0,40.0,30.0
2020-10,10.0,50.0,90.0,30.0,40.0,30.0
2020-11,10.0,50.0,90.0,30.0,40.0,30.0
2020-12,10.0,50.0,90.0,30.0,40.0,30.0
2021-01,10.0,50.0,90.0,30.0,40.0,30.0
2021-02,10.0,50.0,90.0,30.0,40.0,30.0
2021-03,10.0,50.0,90.0,30.0,40.0,30.0
2021-04,10.0,50.0,90.0,30.0,40.0,30.0
2021-05,10.0,50.0,90.0,30.0,40.0,30.0
2021-06,10.0,50.0,90.0,30.0,40.0,30.0
2021-07,10.0,50.0,90.0,30.0,40.0,30.0
2021-08,10.0,50.0,90.0,30.0,40.0,30.0
2021-09,10.0,50.0,90.0,30.0,40.0,30.0
2021-10,10.0,50.0,90.0,30.0,40.0,30.0
2021-11,10.0,50.0,90.0,30.0,40.0,30.0
2021-12,10.0,50.0,90.0,30.0,40.0,30.0
2022-01,10.0,50.0,90.0,30.0,40.0,30.0
2022-02,10.0,50.0,90.0,30.0,40.0,30.0
2022-03,10.0,50.0,90.0,30.0,40.0,30.0
2022-04,10.0,50.0,90.0,30.0,40.0,30.0
2022-05,10.0,50.0,90.0,30.0,40.0,30.0
2022-06,10.0,50.0,90.0,30.0,40.0,30.0
2022-07,10.0,50.0,90.0,30.0,40.0,30.0
2022-08,10.0,50.0,90.0,30.0,40.0,30.0
2022-09,10.0,50.0,90.0,30.0,40.0,30.0
2022-10,10.0,50.0,90.0,30.0,40.0,30.0
2022-11,10.0,50.0,90.0,30.0,40.0,30.0
2022-12,10.0,50.0,90.0,30.0,40.0,30.0
